Year,Section,Metric,AGRS,ARTO,BABP,BACA,BBCA,BBKP,BBNI,BBRI,BBTN,BDMN,BINA,BJBR,BJTM,BKSW,BMAS,BMRI,BNBA,BNGA,BNII,BNLI,BSIM,BTPN,BVIC,DNAR,INPC,MAYA,MCOR,MEGA,NISP,NOBU,PNBN,SDRA
2016,CASHFLOW STATEMENT,Arus Kas Dari Aktivitas Operasi,-306.0,-76.0,-99.0,-173.0,45667.0,2712.0,15422.0,21771.0,9784.0,-446.0,257.0,5106.0,-1132.0,-562.0,-188.0,41521.0,408.0,3291.0,-4731.0,5333.0,751.0,2682.0,827.0,-213.0,-1644.0,-978.0,-468.0,2802.0,10887.0,516.0,530.0,-871.0
2016,CASHFLOW STATEMENT,Arus Kas Dari Aktivitas Investasi,-6.0,38.0,-412.0,-32.0,-60596.0,-3814.0,-29400.0,-3324.0,-1974.0,-12658.0,-362.0,3654.0,2150.0,-319.0,-41.0,-6709.0,-341.0,-4071.0,-5821.0,-9495.0,-96.0,-1395.0,-1993.0,-1.0,-316.0,-147.0,-302.0,-1495.0,-14655.0,-30.0,-162.0,-847.0
2016,CASHFLOW STATEMENT,Arus Kas Dari Aktivitas Pendanaan,2.0,29.0,142.0,306.0,-3662.0,431.0,8637.0,7082.0,1588.0,-3685.0,146.0,-423.0,-147.0,1052.0,197.0,-1428.0,-14.0,-3734.0,2017.0,4135.0,433.0,543.0,343.0,,196.0,900.0,968.0,-1196.0,-4257.0,98.0,4037.0,1022.0
2016,CASHFLOW STATEMENT,Kenaikan (Penurunan) Bersih Kas dan Setara Kas,-310.0,-9.0,-369.0,101.0,-18591.0,-671.0,-5341.0,25528.0,9398.0,-16789.0,41.0,8337.0,871.0,171.0,-32.0,33384.0,53.0,-4715.0,-8534.0,-27.0,1088.0,1831.0,-852.0,-214.0,-1764.0,-226.0,199.0,111.0,-8025.0,584.0,4405.0,-696.0
2016,CASHFLOW STATEMENT,Kas Dan Setara Kas Awal Periode,901.0,62.0,3406.0,3317.0,118661.0,17033.0,83608.0,163389.0,20210.0,31943.0,291.0,12356.0,8575.0,3899.0,795.0,125667.0,1116.0,28131.0,28107.0,24145.0,5766.0,12349.0,3340.0,645.0,4707.0,9448.0,1994.0,14547.0,18055.0,1931.0,20745.0,2918.0
2016,CASHFLOW STATEMENT,Kas Dan Setara Kas Akhir Periode,591.0,53.0,3038.0,3417.0,100320.0,-159.0,78284.0,188955.0,29608.0,15154.0,332.0,20693.0,9447.0,3997.0,762.0,157560.0,1170.0,23416.0,19473.0,24156.0,6778.0,14185.0,2488.0,431.0,2930.0,9222.0,2184.0,14658.0,10030.0,2515.0,25150.0,2222.0
2016,CASHFLOW STATEMENT,Operating Cash Flow,-306.0,-76.0,-99.0,-173.0,45667.0,2712.0,15422.0,21771.0,9784.0,-446.0,257.0,5106.0,-1132.0,-562.0,-188.0,41521.0,408.0,3291.0,-4731.0,5333.0,751.0,2682.0,798.0,-213.0,-1644.0,-978.0,-468.0,2802.0,10887.0,516.0,530.0,-871.0
2016,CASHFLOW STATEMENT,Capital expenditure,-5.0,-3.0,-19.0,-32.0,-2728.0,-349.0,-2172.0,-3653.0,-286.0,-651.0,-2.0,-123.0,-47.0,-73.0,-6.0,-2570.0,-5.0,-426.0,-197.0,-187.0,-98.0,-304.0,-8.0,-1.0,-31.0,-108.0,-39.0,-88.0,-232.0,-29.0,-185.0,-94.0
2016,CASHFLOW STATEMENT,Free cash flow,-311.0,-79.0,-119.0,-205.0,42939.0,2362.0,13251.0,18118.0,9498.0,-1097.0,255.0,4983.0,-1179.0,-636.0,-194.0,38951.0,403.0,2865.0,-4927.0,5146.0,653.0,2378.0,789.0,-214.0,-1674.0,-1086.0,-506.0,2715.0,10654.0,488.0,345.0,-965.0
2016,CASHFLOW STATEMENT,Free cash flow per share,-59.12,-65.39,-5.77,-29.12,1741.6,259.98,710.54,734.43,896.91,-114.48,93.59,513.86,-78.92,-72.59,-43.75,1669.35,174.64,114.01,-72.73,230.35,42.79,407.17,100.04,-95.1,-106.0,-220.79,-30.45,389.83,928.67,109.86,14.32,-185.15
2016,BALANCE SHEET,Total Aset,4060.0,775.0,13058.0,14207.0,676739.0,105406.0,603032.0,1003644.0,214168.0,174087.0,2359.0,102318.0,43033.0,-72.59,5482.0,1038706.0,7121.0,241572.0,166679.0,165528.0,31193.0,91371.0,26000.0,2311.0,26220.0,60839.0,12257.0,70532.0,138196.0,8992.0,199175.0,22631.0
2016,BALANCE SHEET,Kas Dan Setara Kas,25.0,13.0,145.0,79.0,15944.0,680.0,11168.0,25212.0,1007.0,2265.0,17.0,2215.0,1710.0,51.0,55.0,22907.0,46.0,3262.0,1470.0,2071.0,474.0,1448.0,73.0,19.0,337.0,160.0,159.0,1001.0,882.0,131.0,1434.0,238.0
2016,BALANCE SHEET,Giro Pada Bank Indonesia,227.0,38.0,762.0,1028.0,40597.0,5405.0,30147.0,55636.0,10697.0,7352.0,129.0,5516.0,2505.0,1635.0,283.0,52485.0,393.0,13346.0,9449.0,10542.0,2039.0,4625.0,1468.0,104.0,1512.0,3482.0,704.0,4337.0,8019.0,639.0,10249.0,1370.0
2016,BALANCE SHEET,Penempatan Pada Bank Indonesia,308.0,,1985.0,1724.0,35364.0,9407.0,33662.0,78143.0,17581.0,5937.0,186.0,12778.0,4946.0,2230.0,127.0,73617.0,658.0,4424.0,3554.0,8046.0,3079.0,7005.0,1449.0,303.0,913.0,5439.0,1013.0,5983.0,3442.0,1780.0,12528.0,555.0
2016,BALANCE SHEET,Pinjaman Yang Diberikan,2875.0,461.0,7942.0,6637.0,403391.0,70967.0,376595.0,621287.0,148497.0,91889.0,1356.0,62755.0,28353.0,17551.0,4175.0,616706.0,4459.0,165923.0,108002.0,94783.0,19111.0,63248.0,14261.0,1331.0,17744.0,46674.0,8163.0,27777.0,90248.0,3977.0,125049.0,16261.0
2016,BALANCE SHEET,Aset Tetap,25.0,69.0,54.0,319.0,16991.0,2658.0,21972.0,24515.0,4659.0,2506.0,4.0,2740.0,857.0,145.0,272.0,35663.0,733.0,7504.0,2545.0,2554.0,1042.0,1632.0,544.0,107.0,,,504.0,5651.0,2414.0,65.0,9852.0,356.0
2016,BALANCE SHEET,Simpanan Nasabah,3420.0,590.0,10339.0,12020.0,530134.0,83869.0,415453.0,754526.0,159988.0,103740.0,1801.0,73030.0,32799.0,19345.0,4189.0,702060.0,5695.0,180571.0,118932.0,130303.0,25078.0,62042.0,19524.0,1615.0,20849.0,51640.0,9518.0,51073.0,103560.0,7539.0,142654.0,14880.0
2016,BALANCE SHEET,Pinjaman yang Diterima,,,,,2789.0,1295.0,32965.0,35008.0,5000.0,11415.0,,246.0,973.0,,,36098.0,,5436.0,2350.0,,,3731.0,,,,,,539.0,,,3269.0,1751.0
2016,BALANCE SHEET,Total Liabilitas,3487.0,628.0,11197.0,12892.0,564024.0,95868.0,513778.0,856832.0,195038.0,137709.0,1876.0,92644.0,35823.0,20895.0,4370.0,885336.0,5825.0,207364.0,147406.0,146238.0,26717.0,75059.0,23374.0,1865.0,21796.0,53786.0,9861.0,58266.0,118690.0,7660.0,164974.0,18219.0
2016,BALANCE SHEET,Total Ekuitas,549.0,147.0,1860.0,1315.0,112715.0,9538.0,89254.0,146813.0,19131.0,36378.0,483.0,9674.0,7210.0,3478.0,1112.0,153370.0,1297.0,34208.0,19273.0,19290.0,4475.0,16312.0,2626.0,446.0,4424.0,7053.0,2396.0,12266.0,19507.0,1332.0,34201.0,4412.0
2016,BALANCE SHEET,Price to Book Value (PBV),0.84,0.53,0.75,1.1,3.4,0.6,1.18,1.97,0.96,0.99,1.24,3.44,1.18,0.74,1.68,1.8,0.36,0.62,1.21,0.64,2.96,0.97,0.32,1.19,0.26,2.69,1.03,1.36,1.22,2.53,0.57,1.35
