Year,Section,Metric,AGRS,ARTO,BABP,BACA,BBCA,BBKP,BBNI,BBRI,BBTN,BDMN,BINA,BJBR,BJTM,BKSW,BMAS,BMRI,BNBA,BNGA,BNII,BNLI,BSIM,BTPN,BVIC,DNAR,INPC,MAYA,MCOR,MEGA,NISP,NOBU,PNBN,SDRA
2017,CASHFLOW STATEMENT,Arus Kas Dari Aktivitas Operasi,17.0,41.0,-1993.0,1060.0,9659.0,-1573.0,33626.0,39299.0,321.0,3749.0,-209.0,682.0,6663.0,-231.0,234.0,4953.0,-117.0,20129.0,-3997.0,-13394.0,-808.0,1126.0,1455.0,141.0,975.0,2350.0,1487.0,5356.0,-340.0,801.0,-7087.0,552.0
2017,CASHFLOW STATEMENT,Arus Kas Dari Aktivitas Investasi,-7.0,-24.0,377.0,-38.0,-20620.0,1360.0,-23274.0,-30996.0,833.0,-3189.0,-240.0,1232.0,-1490.0,-242.0,-449.0,-5745.0,270.0,-8946.0,-1315.0,4932.0,-211.0,-1376.0,-496.0,-2.0,-1038.0,-2433.0,-761.0,-1700.0,2099.0,-24.0,-50.0,-853.0
2017,CASHFLOW STATEMENT,Arus Kas Dari Aktivitas Pendanaan,,,68.0,243.0,-6656.0,-780.0,3245.0,-10847.0,8076.0,23.0,695.0,4069.0,-316.0,986.0,,1199.0,-19.0,-88.0,1812.0,868.0,33.0,982.0,250.0,,-102.0,2462.0,,-982.0,1364.0,,208.0,1447.0
2017,CASHFLOW STATEMENT,Kenaikan (Penurunan) Bersih Kas dan Setara Kas,9.0,17.0,-1548.0,1265.0,-17617.0,-992.0,13597.0,-2544.0,9229.0,583.0,246.0,5983.0,4857.0,513.0,-216.0,407.0,133.0,11250.0,-3500.0,-7595.0,-986.0,732.0,1163.0,139.0,-165.0,2379.0,727.0,2674.0,3123.0,777.0,-6929.0,1146.0
2017,CASHFLOW STATEMENT,Kas Dan Setara Kas Awal Periode,591.0,53.0,3038.0,3417.0,100320.0,16203.0,78284.0,188955.0,29608.0,15154.0,332.0,20693.0,9447.0,3997.0,762.0,157560.0,1170.0,23416.0,19473.0,24156.0,6778.0,14185.0,2488.0,431.0,2930.0,9222.0,2184.0,14658.0,10030.0,2515.0,25150.0,2222.0
2017,CASHFLOW STATEMENT,Kas Dan Setara Kas Akhir Periode,600.0,70.0,1500.0,4683.0,83377.0,3.0,91977.0,186410.0,38838.0,15834.0,578.0,26674.0,14304.0,4522.0,547.0,158776.0,1304.0,34666.0,16001.0,16597.0,5820.0,14917.0,3651.0,570.0,2773.0,11601.0,2910.0,17332.0,13152.0,3290.0,17780.0,3368.0
2017,CASHFLOW STATEMENT,Operating Cash Flow,17.0,41.0,-1993.0,1060.0,9659.0,-1573.0,33626.0,39299.0,321.0,3749.0,-209.0,682.0,6663.0,-231.0,234.0,4953.0,-117.0,20129.0,-3997.0,-13394.0,-808.0,1126.0,1409.0,141.0,975.0,2350.0,1487.0,5356.0,-340.0,801.0,-7087.0,552.0
2017,CASHFLOW STATEMENT,Capital expenditure,-5.0,-1.0,-16.0,-38.0,-1737.0,-242.0,-1948.0,-2006.0,-397.0,-487.0,-7.0,-142.0,-31.0,-48.0,-186.0,-2675.0,,-205.0,-259.0,-282.0,-212.0,-324.0,-9.0,-3.0,-13.0,-143.0,-277.0,-63.0,-206.0,-17.0,-96.0,-36.0
2017,CASHFLOW STATEMENT,Free cash flow,12.0,40.0,-2009.0,1022.0,7922.0,-1814.0,31678.0,37293.0,-76.0,3261.0,-217.0,540.0,6632.0,-279.0,48.0,2277.0,-117.0,19924.0,-4256.0,-13676.0,-1020.0,802.0,1399.0,138.0,962.0,2207.0,1210.0,5293.0,-546.0,784.0,-7183.0,516.0
2017,CASHFLOW STATEMENT,Free cash flow per share,2.23,33.23,-94.48,145.24,321.31,-199.68,1698.69,302.34,-7.15,340.25,-79.46,55.7,442.88,-16.4,10.77,48.8,-50.59,792.79,-62.82,-487.69,-66.31,137.34,161.36,61.11,60.89,448.62,72.73,760.02,-47.59,176.57,-298.2,76.81
