Year,Section,Metric,AGRS,ARTO,BABP,BACA,BBCA,BBKP,BBNI,BBRI,BBTN,BDMN,BINA,BJBR,BJTM,BKSW,BMAS,BMRI,BNBA,BNGA,BNII,BNLI,BSIM,BTPN,BVIC,DNAR,INPC,MAYA,MCOR,MEGA,NISP,NOBU,PNBN,SDRA
2020,CASHFLOW STATEMENT,Arus Kas Dari Aktivitas Operasi,-2430.0,-327.0,930.0,-113.0,50979.0,-13476.0,74254.0,66689.0,26533.0,17306.0,2269.0,-1395.0,31.0,-4281.0,208.0,102061.0,642.0,28625.0,30522.0,1149.0,2117.0,18664.0,22.0,-578.0,5117.0,519.0,-2428.0,-545.0,5285.0,-840.0,27896.0,-4892.0
2020,CASHFLOW STATEMENT,Arus Kas Dari Aktivitas Investasi,-34.0,-265.0,-431.0,-96.0,-44118.0,1309.0,-11992.0,-116008.0,-23727.0,-5282.0,-1225.0,-397.0,-5235.0,2296.0,-7.0,-33313.0,-1164.0,-26763.0,-17056.0,8374.0,-243.0,-3805.0,588.0,-152.0,-6272.0,1156.0,532.0,-4933.0,-16940.0,5.0,-26275.0,-365.0
2020,CASHFLOW STATEMENT,Arus Kas Dari Aktivitas Pendanaan,3923.0,736.0,1.0,0.0,-15553.0,8183.0,-17139.0,-19982.0,582.0,-8479.0,-16.0,2211.0,-1956.0,1477.0,,-16468.0,-14.0,-6584.0,-7130.0,-6595.0,203.0,-9462.0,-251.0,494.0,200.0,269.0,3158.0,-670.0,1640.0,-8.0,-2548.0,2669.0
2020,CASHFLOW STATEMENT,Kenaikan (Penurunan) Bersih Kas dan Setara Kas,1458.0,144.0,501.0,-208.0,-8692.0,-3984.0,45123.0,-69300.0,3388.0,3545.0,1028.0,418.0,-7159.0,-508.0,201.0,52279.0,-537.0,-4419.0,6336.0,2928.0,2077.0,5397.0,359.0,-236.0,-955.0,1944.0,1262.0,-6148.0,-10014.0,-843.0,-927.0,-2588.0
2020,CASHFLOW STATEMENT,Kas Dan Setara Kas Awal Periode,864.0,303.0,965.0,3841.0,113068.0,10634.0,81185.0,236906.0,31250.0,13075.0,1064.0,17963.0,20453.0,2879.0,971.0,123793.0,1326.0,32458.0,18234.0,23202.0,4213.0,19842.0,2146.0,1246.0,3816.0,8520.0,1935.0,13840.0,19553.0,2476.0,15310.0,5327.0
2020,CASHFLOW STATEMENT,Kas Dan Setara Kas Akhir Periode,2322.0,448.0,1450.0,3633.0,106271.0,7.0,126908.0,167253.0,34638.0,16698.0,2092.0,18436.0,13294.0,2373.0,1173.0,177365.0,790.0,28039.0,24624.0,25992.0,6316.0,25228.0,2504.0,1010.0,2869.0,10464.0,3208.0,7691.0,9656.0,1643.0,14570.0,2739.0
2020,CASHFLOW STATEMENT,Operating Cash Flow,-2430.0,-327.0,930.0,-113.0,50979.0,-13476.0,74254.0,66689.0,26533.0,17306.0,2269.0,-1395.0,31.0,-4281.0,208.0,102061.0,642.0,28625.0,30522.0,1149.0,2117.0,18664.0,22.0,-578.0,5117.0,519.0,-2428.0,-545.0,5285.0,-840.0,27896.0,-4892.0
2020,CASHFLOW STATEMENT,Capital expenditure,-26.0,-51.0,-14.0,-96.0,-2674.0,-504.0,-1273.0,-3129.0,-798.0,-287.0,-22.0,-405.0,-286.0,-104.0,-8.0,-3896.0,-24.0,-680.0,-172.0,-473.0,-243.0,-194.0,-3.0,-17.0,-17.0,-115.0,-38.0,-91.0,-322.0,-11.0,-352.0,-16.0
2020,CASHFLOW STATEMENT,Free cash flow,-2457.0,-378.0,916.0,-209.0,48305.0,-13979.0,72980.0,63560.0,25735.0,17018.0,2247.0,-1800.0,-255.0,-4385.0,200.0,98165.0,619.0,27945.0,30350.0,676.0,1874.0,18469.0,19.0,-595.0,5100.0,404.0,-2465.0,-637.0,4964.0,-851.0,27544.0,-4908.0
2020,CASHFLOW STATEMENT,Free cash flow per share,-218.83,-34.85,36.16,-29.49,1959.24,-427.86,3913.44,515.3,2430.1,1741.28,397.47,-182.96,-16.97,-214.54,45.06,2103.53,267.88,1111.96,398.22,24.1,107.3,2266.49,2.17,-51.44,322.89,59.11,-65.01,-91.42,216.33,-191.72,1143.5,-745.78
